HCT15_C902R1_P1D14
HCT15_C902R2_P1D14
HCT15_C902R3_P1D14
BICR78_c907R3
CAL33_c907R3
CAL72_c908R3
ESO51_c907R2
HCE4_c908R3
KYSE27_c908R2
LB771H_c908R2
LS1034_c903R1
MCF7_c903R3
H3118_c908R3
SCC4_c907R2
SCC90_c907R2
TT1_c908R3
TE10_c908R3
MKN1_c908R4
MKN1_c908R5
MKN1_c908R6
TE15_c907R1
TE15_c907R2
TE15_c907R3
GIMEN_c906R2
GIMEN_c906R3
Hs746T_c908R1
Hs746T_c908R2
KS1_c907R1
KS1_c907R2
M059J_c907R1
M059J_c907R2
M14_c902R2
M14_c902R3
MM1S_c907R1
MM1S_c907R2
H2405_c906R1
H2405_c906R3
OV56_c905R1
OV56_c905R2
OVR4_c905R1
OVR4_c905R2
SF268_c907R1
SF268_c907R2
TGBC11_c908R2
TGBC11_c908R3
