,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
PCYT2,-0.0330402806523356,0.543990868759926,1.09652231404397,1.22418185492741,-0.20357302341251,33.066889379839,7.78125337297381e-10,4.90184528215256e-07
N6AMT1,0.00236041150767632,0.701894825241387,1.27860210776716,1.86398742683262,-0.38144837611475,33.022619717779,7.89347066369172e-10,4.90184528215256e-07
PSENEN,-0.314151843482008,-0.760519987344212,-1.04557766867174,-1.29683231245817,-0.496370204021639,31.9670171813622,1.1158642870924e-09,6.69056835309056e-07
MAPKAP1,-0.168433514216751,0.634311275080404,1.05885827611796,1.04169494283789,-0.164414134558244,31.7645044497362,1.1937611098989e-09,6.91903939297405e-07
GAB1,-0.0868671508804052,-0.845628357002802,-0.859581824040282,-1.02339447007992,-0.298180737856851,31.3027075055572,1.39418174390116e-09,7.82001037514624e-07
CSDE1,0.445815611785107,0.817212661225749,0.942019460248324,0.943130926954299,0.414819286075429,30.6249810940802,1.75677956475639e-09,9.54590095999504e-07
SMARCE1,0.117273137359196,0.482836828731506,0.987187179647473,1.11639494287803,0.2620616219819,30.0435778643579,2.14927172499824e-09,1.13247081073543e-06
KLF3,0.173352668903162,0.940369007056905,1.15589772867618,1.15561942114754,0.246642183608281,29.7043932438105,2.4211141837567e-09,1.23818627726946e-06
OGDH,-0.314503752446502,0.919525147352668,1.04210045155231,1.16629214776618,-1.2121227555294,28.8152619859011,3.32578917988213e-09,1.65225206456544e-06
TAF6L,-0.0433962314628807,0.444786391021416,0.978196425833193,1.1714808040656,-0.248212984601844,28.5671834274483,3.63892250542347e-09,1.75759957011953e-06
SPRED2,0.147788571892076,0.636857899275908,0.846252901765456,0.989774008243759,0.484052758515881,28.410327889735,3.85319821811616e-09,1.81079488152983e-06
AP2M1,0.100175832683803,0.939903380483666,1.26648559414806,1.67767864066656,-1.08895802536855,28.059592392197,4.38310840075301e-09,1.98904452010329e-06
EIF4A1,0.339888554771985,0.698292131101357,1.17802618766025,1.4515757156117,-1.02189431370259,27.9519589729309,4.56107424432139e-09,1.98904452010329e-06
TIPRL,0.372604798900782,0.9445742758546,1.00908151256446,1.34156794952353,-0.514301797095365,27.9109850309287,4.63085405496544e-09,1.98904452010329e-06
TSC2,0.177678725200325,0.511583680677578,0.800222480213528,1.07922459341949,0.432625691117146,27.8767358977598,4.69006356822147e-09,1.98904452010329e-06
ATP2B1,0.0307591498296028,1.03652984858835,1.2064843928198,1.15477779869895,-0.562499240846357,26.5469887069362,7.75672571611997e-09,3.21128444647367e-06
MTHFD1,0.0407918189540946,0.668154708970754,0.910348945559506,1.19153285072091,-0.658615774710643,26.3935345880398,8.23086975423258e-09,3.32833402992084e-06
