,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
UBE2M,0.283328860096298,0.613109307428722,1.02335377800087,0.863524718388647,-1.08677863031588,34.7567650924145,4.71649877059947e-11,1.06079952974245e-08
TSC1,0.142395192516291,0.561579129997041,0.423430782243848,0.619941589606768,0.354381391254542,34.1820134773703,5.80897012752367e-11,1.29038024079671e-08
UBE2L3,0.078099375881139,0.424458465803061,0.48725965796898,0.892278032356564,-0.0401922125699809,34.1097161992034,5.96439885316213e-11,1.30461009061594e-08
KAT7,0.072529072557555,0.456355213047374,0.538159638837456,0.714172411315701,0.0922742520187785,34.0852284902869,6.01804243434242e-11,1.30461009061594e-08
PGD,-0.0355149061123764,0.433671007584606,0.915826321715919,0.624113073300291,-0.760675652871206,34.042447994374,6.11299471727115e-11,1.30941802318881e-08
ATP2B1,0.219906879880055,0.508992401256921,0.815983025449752,0.850142834414758,-0.0228726593333104,33.7368412831529,6.83945787467464e-11,1.43109330889353e-08
SUPT20H,0.0216153484939959,0.662907763803418,0.783496227144488,0.833349930942832,0.148886372341081,33.7365843839178,6.84010585032201e-11,1.43109330889353e-08
PPAT,-0.153549310475397,0.142200861017165,0.674631971404961,0.953392483703799,-0.56721989473786,33.5960341716324,7.20460440530408e-11,1.49002812717973e-08
SPRED2,0.0636358126626967,0.441599980079174,0.636039691860218,0.743576885811178,0.480476609812719,33.2610040523814,8.15946201808951e-11,1.66833181922142e-08
HDAC3,-0.0162206521118021,0.384258771064338,0.49785593840918,0.673348253207448,-0.563132271008206,33.1202515466069,8.60001272469354e-11,1.73865201073495e-08
ATOH1,0.0908267425658057,0.342320345257936,0.498904219207128,0.63336841626742,0.37062517376179,32.2731849223207,1.18465518529857e-10,2.36838897211968e-08
BCS1L,-0.0317740639717325,0.47770828780389,0.472271915100216,0.875353968064162,-0.10925934994656,32.182594308585,1.22641715165968e-10,2.424936682397e-08
UQCRC2,-0.228638978878952,0.160008751258196,0.492791355932378,0.783660654928268,-0.133835405916923,32.1276864141486,1.25248988707527e-10,2.44957071066797e-08
TBL1XR1,0.0356515061158872,0.464887509280017,0.641138234275633,0.664303428667999,0.319123690196335,32.0893899919424,1.27102357622552e-10,2.45908894699203e-08
TAF13,0.00604590461554466,0.148697441200758,0.766939217888821,0.545318534741424,0.0358557666291919,32.0534465102441,1.28868423165961e-10,2.46673355109057e-08
RBPJ,-0.0557779927211171,-0.443974734701591,-0.614913612604076,-0.641062827609248,0.343693545326201,31.9243677142144,1.35429070670002e-10,2.56502659848983e-08
CELF1,0.147379435300778,0.368005705500171,0.484455293956042,0.521995642389033,0.380879052905534,31.5883425788673,1.54232823840094e-10,2.89074083266127e-08
XPO4,0.0301014227427094,0.427656052626788,0.594335343425673,0.767177367530005,0.172163249246949,31.3582790207001,1.68697977665133e-10,3.12926052796777e-08
TRMT61A,-0.00154664124433548,0.0559776322336852,0.262245590692897,0.794938498308386,-0.118933516645919,31.116068604006,1.85499253854994e-10,3.40580415776827e-08
RREB1,-0.0190958878276227,-0.478082792892037,-0.539809139431927,-0.490981703975015,-0.00556586157571791,30.4957179517413,2.37195977370013e-10,4.3109769907259e-08
SIRT1,-0.0616167215790776,0.388043090774118,0.517262937989675,0.624864473676342,0.416574531831072,30.314249099113,2.55070471912646e-10,4.58948300112424e-08
MAPKAP1,0.094657775305366,0.365085841593056,0.516956431695729,0.521701958040215,0.111277275465415,30.0538849420185,2.83262817592821e-10,5.04628502668081e-08
SLC25A3,-0.0402138731697171,0.386964485971661,0.576054419444371,0.997011330250066,-0.545881596187489,29.9046645210142,3.00900049127578e-10,5.30793586662011e-08
ZFP36L1,-0.0765643663565783,-0.466103049890137,-0.56397024834161,-0.444238949815383,-0.048630212596238,29.7128969128354,3.25300485467804e-10,5.68265207283708e-08
NCSTN,-0.0296835197532719,-0.585517401675498,-0.695673677804272,-0.784783410053225,-0.432308789865364,29.5946720731333,3.41385992506582e-10,5.90630592612589e-08
THG1L,0.0755382072233322,-0.072379651981656,0.63086787260706,0.83818857718687,-0.670531830467349,29.43812467094,3.64000082427694e-10,6.23757474582999e-08
PPP6C,0.142794147174011,0.527655844306761,0.823501534643541,0.822497034240526,-0.269238566869368,29.4007591797321,3.6963000847935e-10,6.27429504015938e-08
AHDC1,0.0606993659177371,0.423964972786931,0.326765479013509,0.636810694986647,0.331259647718856,29.3003784041254,3.85218404996652e-10,6.47778949635959e-08
HCCS,-0.128385708831885,0.455676564910287,0.587703101476574,0.721236016238481,-0.196303784874083,28.2467093749946,5.98332719717276e-10,9.96833391284532e-08
ELOF1,-0.0818258386375442,0.236869369632882,0.55782106242776,0.692889168938535,-0.0140729631506773,27.9882063663114,6.67877692209284e-10,1.10248837760749e-07
ETNK1,0.00175697123125536,0.608044241451154,0.379599036523001,0.807864690271413,-0.139799393349323,27.589150987529,7.92654072957995e-10,1.29171372781567e-07
TCF12,0.19568818790635,0.531836785896895,0.46102799337859,0.682731108057215,0.375425148946762,27.5768715960054,7.96866691421885e-10,1.29171372781567e-07
KMT2D,-0.0232120452572265,0.300329540450421,0.423153171007622,0.568969264203529,0.457135433511367,27.5437897914528,8.08334866561333e-10,1.29860439768197e-07
KMT2A,0.0598630177046158,0.259781456143232,0.615961998042762,0.715707928433769,-0.161212252717896,27.3983051443818,8.60894050142724e-10,1.3708023578954e-07
ADNP,0.126630914565551,0.351395937181281,0.516740378782353,0.649032740936176,0.369280225540365,27.3137881182833,8.93087577845183e-10,1.40958989369898e-07
SMARCE1,0.18318588193143,0.440374980756863,0.61410849176618,0.491399311623363,0.0585895653537957,27.2164310057417,9.31767075538888e-10,1.45785086871054e-07
ARIH1,0.0846195585792576,0.472935027570272,0.622605579908951,0.63232524123034,-0.622791070394743,27.0621351120073,9.96764467225666e-10,1.54610198782685e-07
EIF4E2,0.241130807191578,0.482897507583353,0.218053449481983,0.84174993458141,0.321271663582806,26.9017906094819,1.06945015029225e-09,1.64466808155627e-07
ETS2,0.021053509386718,0.714750375917965,0.579756878445296,0.579162541643841,0.0387417843416268,26.7234943569204,1.15694752588118e-09,1.76414888416781e-07
DTYMK,-0.0841393573350426,0.468490710298642,0.702575752234107,0.819185977847241,-0.548605929182402,26.699246641333,1.16942320732614e-09,1.76818754364867e-07
TXN,0.0626414953429771,0.549310766457093,0.609139102829665,0.669455912575177,-0.110821211841253,26.4994998495213,1.27780902269358e-09,1.91596814544379e-07
DPF2,0.0739555015524319,0.369589018137817,0.575270507454587,0.436537387656829,0.139678178179266,26.0966829677218,1.53026534300073e-09,2.27554250550514e-07
WDR26,-0.0460074276414054,-0.357785098555434,-0.578341477787549,-0.607310290716047,-0.375358554093908,25.9282184755754,1.65113930463127e-09,2.43515979575659e-07
MED23,0.191757926242289,0.515123139208115,0.748844350842478,0.892052634717473,-0.487364560552742,25.4830092638444,2.02218907208708e-09,2.95815024179373e-07
EXT2,-0.129504307533403,-0.458884534343926,-0.67630367898446,-0.646356193056196,0.0370126984398607,25.2819761541996,2.21795693971231e-09,3.21836284001964e-07
KCTD10,0.161746258881312,0.269504887999248,0.605174568552799,0.707571146166448,0.175341315518655,24.9494082165373,2.58742891320369e-09,3.72444867482193e-07
ADAM10,0.0329603734145145,-0.203226723953394,-0.481055278665361,-0.698473670146532,0.147808701432961,24.7709891905343,2.81217227995292e-09,4.01582665342801e-07
UGCG,-0.154364767498313,-0.512504016912005,-0.372872492511895,-0.462060795664471,0.106998499676063,24.7388680046506,2.85479466511409e-09,4.0445921582203e-07
TNPO1,0.143425964827298,0.33967725324952,0.733510577693499,0.443604287140806,-0.193001679270186,24.6604766638388,2.96172648678626e-09,4.11471297622326e-07
STK40,-0.140341503445815,-0.419570490354877,-0.362995293564754,-0.510847625697983,-0.811083294365475,24.6529048912095,2.97227838696996e-09,4.11471297622326e-07
COX10,-0.0608244512681649,0.207359006783613,0.323128987218586,0.756895858392021,-0.0155199363596365,24.6524645459016,2.97289327465694e-09,4.11471297622326e-07
PKN2,-0.172693902502395,-0.430213585327076,-0.418490958248561,-0.484750755186844,-0.33352586870542,24.4819090419606,3.22154539944250e-09,4.42482949405869e-07
CXorf56,0.147725666650026,0.193234984224384,0.432330483949908,0.55069734884444,0.268124496056507,24.3245099288782,3.47070963577632e-09,4.73094533913056e-07
PFAS,0.106930738840151,0.112841965133327,0.739529028110936,0.42637152644658,-0.288749096085678,24.2501355611458,3.59550682006014e-09,4.86420708370993e-07
DDX42,-0.123725505656762,0.33320121255097,0.534767314883951,0.477189535230649,-0.311855294233719,24.0008108144508,4.04990827420128e-09,5.43805966997788e-07
TTC14,0.000282265568612439,0.251273471594406,0.631125356191115,0.411958527004401,0.27620933836514,23.9576116471156,4.13466725364303e-09,5.47358849848483e-07
TCF3,0.155062017552472,0.406130061185192,0.459249627411252,0.586246156769153,0.357149011716091,23.9563307293869,4.13720911351046e-09,5.47358849848483e-07
DDX21,-0.0404522031148072,0.242024839293243,0.618433375008523,0.400544854370608,-1.10768866521754,23.9000317464906,4.250588174375e-09,5.57483277329871e-07
MATR3,0.0933418377378631,0.5111530076089,0.582171439454605,0.391580740595533,-0.170880558786834,23.8877779126448,4.27570123223043e-09,5.57483277329871e-07
SSR1,0.0280634906903335,-0.407675583243828,-0.513879235898884,-0.603689144418747,0.0893252608898702,23.7616988260687,4.54345253519778e-09,5.88131952991465e-07
BRPF1,0.0332700693318796,0.326928537964014,0.552063675102391,0.513748279053041,0.0859280319973436,23.7121898842893,4.65342293657603e-09,5.98064563555803e-07
FASN,0.104017660558852,0.482565830925422,0.728649727244662,0.591880420978176,-0.329344023205341,23.638613508521,4.82211577626748e-09,6.15349852215466e-07
RAF1,-0.15175978593104,-0.414553320642795,-0.476070148392342,-0.563366242284328,-0.034853870294748,23.531783329575,5.07873271549583e-09,6.43532660210679e-07
TFRC,0.00088588302311271,0.235675230205182,0.615337241142425,0.875059908601404,-0.49301472703453,23.3477457947492,5.55549904032942e-09,6.9902163799054e-07
FBXL20,0.100885310160628,0.430237553946584,0.490494195755027,0.64223608945335,0.64702199414604,23.2527410758264,5.82005551097683e-09,7.27224019506987e-07
